id,name,host_id,host_name,neighbourhood_group,neighbourhood,city,latitude,longitude,room_type,price,number_of_reviews,calculated_host_listings_count
55133,Results: All Love this Room,157884,Agri & Roger,"",Haringey,London,51.5841,-0.16188,Private room,"£49,00",226,4
55402,"Modern 2 Bed 2 Bath, UK, Croydon",57861,Beth,"",Croydon,London,51.37438,-0.1177,Entire home/apt,"£55,00",2,1
55706,Amazing 2 bed 2 bath flat in central London,211108,Simon,"",Westminster,London,51.49588,-0.1544,Entire home/apt,"£250,00",83,3
56784,1 twinroom,269609,Trudi,"",Croydon,London,51.39998,-0.10548,Private room,"£35,00",0,2
59656,PASSING THROUGH Paddington LONDON?,196620,Fay,"",Westminster,London,51.52294,-0.18421,Private room,"£75,00",192,3
62218,Spacious Upmarket Belsize Park,302657,Ester,"",Camden,London,51.55685,-0.16058,Entire home/apt,"£150,00",70,15
62747,Beautiful huge double room in artist’s garden flat,289179,Jacinta,"",Tower Hamlets,London,51.52126,-0.05696,Private room,"£38,00",85,2
62970,Exquisite 3bed w/patio near Liverpool Street,133271,Hendryks,"",Tower Hamlets,London,51.52478,-0.06965,Entire home/apt,"£350,00",152,5
63864,FASCINATING ONE BEDROOM APT IN CANARY WHARF,54987,Prateek,"",Tower Hamlets,London,51.49946,-0.01934,Hotel room,"£135,00",11,64
64429,"Light room on Portobello Road,",193586,Julie,"",Kensington and Chelsea,London,51.52053,-0.20968,Private room,"£55,00",419,2
64942,Quirky converted school flat,317447,Benjamin,"",Tower Hamlets,London,51.53204,-0.06126,Entire home/apt,"£115,00",3,2
65638,Gorgeous London garden apartment,320901,Mike,"",Southwark,London,51.48624,-0.09624,Entire home/apt,"£85,00",182,4
65908,Lovely room in cool Brixton,322341,Kate,"",Lambeth,London,51.45971,-0.12008,Private room,"£80,00",0,1
66772,Cosy Double studio in Zone 2 Hammersmith (3),216660,Boris,"",Hammersmith and Fulham,London,51.49404,-0.22738,Private room,"£78,00",48,3
67025,Charming Flat in Private Mews in a Great location,211108,Simon,"",Westminster,London,51.496,-0.15422,Entire home/apt,"£160,00",112,3
67851,Modern studio flat in London fields,235606,Ben,"",Hackney,London,51.54117,-0.05867,Entire home/apt,"£76,00",30,1
67934,ENGLISH HOMESTAY - Nice Family Home,335716,Laura D,"",Barnet,London,51.60202,-0.26139,Private room,"£23,00",27,2
69198,Spacious single room in quiet flat,345886,Alda,"",Haringey,London,51.59016,-0.09427,Private room,"£30,00",10,1
70482,Fabulous Hackney flat  Victoria Park London fields,357352,Michael,"",Hackney,London,51.54049,-0.04916,Entire home/apt,"£95,00",0,1
71875,"Bright Very Central 1-Bed in W1. King Bed, Wifi",67564,Liz,"",Camden,London,51.52279,-0.13919,Entire home/apt,"£148,00",71,15
