id,name,host_id,host_name,neighbourhood_group,neighbourhood,city,latitude,longitude,room_type,price,number_of_reviews,calculated_host_listings_count
108522,Surry Hills Modern Apartment Living,359706,Saysana,"",Sydney,Sydney,"-33,8852000","151,2082460",Entire home/apt,"$251,00",12,1
118658,Luxury apartment by the beach,599232,James,"",Waverley,Sydney,"-33,8912000","151,2854706",Entire home/apt,"$226,00",5,1
122699,Private studio with ensuite - Erskineville,284711,Isabel,"",Sydney,Sydney,"-33,9022000","151,1911905",Entire home/apt,"$89,00",52,2
135691,Private room for your Bondi holiday,501973,Francine,"",Waverley,Sydney,"-33,8895000","151,2604479",Private room,"$90,00",32,2
143247,Family house on North shore,695202,Donny,"",Ku-Ring-Gai,Sydney,"-33,7603000","151,1509745",Private room,"$69,00",26,2
143280,Garden Retreat Northern Beaches,695349,Family Team -,"",Pittwater,Sydney,"-33,6940000","151,2903600",Entire home/apt,"$170,00",24,4
143631,Room in Maroubra townhouse,696488,Anthony,"",Randwick,Sydney,"-33,9513000","151,2448026",Private room,"$43,00",0,1
145732,Farm Stay/Kookaburra Cabin/ 15 min to Manly,704290,Bella,"",Warringah,Sydney,"-33,7468000","151,2492875",Entire home/apt,"$155,00",9,1
153444,"Potts Point: Lrg Mod Art Deco Apt, Walk Everywhere",733574,Tobias,"",Sydney,Sydney,"-33,8727000","151,2237832",Entire home/apt,"$120,00",170,4
196157,Beautiful peaceful room w/ensuite,954713,Gill,"",Ku-Ring-Gai,Sydney,"-33,7664000","151,1844232",Private room,"$68,00",38,5
196170,"Spacious 2-Bed Unit, 5 Min Walk to Bondi Beach",954703,Diana & Lorenzo,"",Waverley,Sydney,"-33,8937000","151,2673806",Entire home/apt,"$199,00",3,1
198170,Room In Light 2 Bedroom Apartment,967089,Carmel,"",Marrickville,Sydney,"-33,9027000","151,1647223",Private room,"$48,00",31,2
199669,Serenity Bondi Beach stay,975349,Susie,"",Waverley,Sydney,"-33,8890000","151,2722535",Entire home/apt,"$400,00",3,4
201698,3BR 2.5Bath Sleeps 13 -Close To CBD,981841,Kris,"",Canterbury,Sydney,"-33,9106000","151,0967013",Entire home/apt,"$329,00",31,1
210439,"Great Location, Paris End,  Potts Point Sydney",519412,Sarah,"",Sydney,Sydney,"-33,8670000","151,2243254",Entire home/apt,"$120,00",13,1
219030,The Beachhouse Eco Retreat,490291,Ingrid,"",Waverley,Sydney,"-33,8939000","151,2660769",Entire home/apt,"$251,00",68,2
222559,Woollahra/double bay1,433633,Ruth,"",Woollahra,Sydney,"-33,8877000","151,2468165",Private room,"$93,00",37,4
223221,"Harbour, shops, cafes, city 10 mins",1159541,Stefan,"",Woollahra,Sydney,"-33,8757000","151,2411205",Private room,"$80,00",183,1
225478,Le Soleil Beach Front Luxury Villa,1174760,Christian,"",Sutherland Shire,Sydney,"-34,0827000","151,1559770",Entire home/apt,"$580,00",12,1
226202,Beachside Coogee 2 bed apartment,324467,Greg,"",Randwick,Sydney,"-33,9256000","151,2557943",Entire home/apt,"$129,00",2,1
230108,Opposite North Shore Train Station,695202,Donny,"",Ku-Ring-Gai,Sydney,"-33,7534000","151,1535568",Entire home/apt,"$120,00",4,2
232188,Best of Both Worlds North Narrabeen,695349,Family Team -,"",Pittwater,Sydney,"-33,7002000","151,2935482",Entire home/apt,"$239,00",101,4
232782,Loft Style Apartment in Sydney,1012161,Kirsteen,"",Sydney,Sydney,"-33,8929000","151,2095628",Entire home/apt,"$251,00",20,1
232793,Woollahra/double bay2,433633,Ruth,"",Woollahra,Sydney,"-33,8863000","151,2446658",Private room,"$86,00",49,4
232795,Woollahra/Double bay3,433633,Ruth,"",Woollahra,Sydney,"-33,8876000","151,2462492",Private room,"$90,00",25,4
236590,Modern Spacious  1bdrm Apartment !!,1240169,Margaret,"",Blacktown,Sydney,"-33,7071000","150,9241673",Entire home/apt,"$120,00",32,1
