id,name,host_id,host_name,neighbourhood,neighbourhood_group,city,room_type,price,usd,number_of_reviews,calculated_host_listings_count,availability_365,tipo disponibilidad,tipo host
2645582,New Studio - 5 min to Shinjuku (1),13521173,Alba & Cupidon,Shinjuku Ku,"",Tokyo,Entire home/apt,¥9361,"$62,72",183,2,-1,'-,Profesional
2803972,11mins to Fussa station by train and 6mins walk!,13465066,Tomoyuki&Maki,Akishima Shi,"",Tokyo,Entire home/apt,¥3551,"$23,79",27,2,-1,'-,Profesional
2867835,Lively town flat for family stay,9360394,Vann Amor,Adachi Ku,"",Tokyo,Entire home/apt,¥12805,"$85,79",6,4,-1,'-,Profesional
2883497,東京下町生活,6969809,Kota,Taito Ku,"",Tokyo,Entire home/apt,¥19045,"$127,60",215,2,-1,'-,Profesional
2883753,Modern Tatami dining with comfy bed,9360394,Vann Amor,Adachi Ku,"",Tokyo,Entire home/apt,¥12805,"$85,79",3,4,-1,'-,Profesional
2883869,Comfy Studio with Lovely balcony,9360394,Vann Amor,Adachi Ku,"",Tokyo,Entire home/apt,¥6456,"$43,26",3,4,-1,'-,Profesional
3021731,Cozy room in the City,15397951,Kay,Toshima Ku,"",Tokyo,Private room,¥3551,"$23,79",103,3,-1,'-,Profesional
3085134,"""HirooHouse"",3Rm, 6 guests, 2minWalk/HIROO Stn.",10415965,Azabu,Shibuya Ku,"",Tokyo,Entire home/apt,¥29052,"$194,65",105,3,-1,'-,Profesional
3097514,Nakameguro: Hideaway in Cul de Sac,15751854,Ziggie,Meguro Ku,"",Tokyo,Private room,¥5380,"$36,05",50,3,-1,'-,Profesional
3235958,Experience normal Japan life 1,16241464,Kaori,Itabashi Ku,"",Tokyo,Entire home/apt,¥5488,"$36,77",77,2,-1,'-,Profesional
3265059,Factory Roof-Top! +Portable Wi-Fi,6606987,K & N,Katsushika Ku,"",Tokyo,Private room,¥5488,"$36,77",296,3,-1,'-,Profesional
3339222,Experience normal Japan life 2,16241464,Kaori,Itabashi Ku,"",Tokyo,Entire home/apt,¥5057,"$33,88",44,2,-1,'-,Profesional
3364169,"PIC UP SRVC PROVIDED, 1 MINU TO GROCERY STORE",16973429,Hirano San,Taito Ku,"",Tokyo,Entire home/apt,¥7962,"$53,35",113,2,-1,'-,Profesional
3366913,Beautiful and peaceful residence,15397951,Kay,Shinjuku Ku,"",Tokyo,Private room,¥4519,"$30,28",89,3,-1,'-,Profesional
3395524,Perfect room for student,15397951,Kay,Shinjuku Ku,"",Tokyo,Private room,¥3551,"$23,79",55,3,-1,'-,Profesional
3395898,Haneda 30min/La casa 1A,17133875,Shizu&Tazu&Mari,Ota Ku,"",Tokyo,Entire home/apt,¥4950,"$33,17",54,2,-1,'-,Profesional
3427384,Tatoo ok! Onsen of 400 years of history【禅】,13018876,Masakatsu,Edogawa Ku,"",Tokyo,Entire home/apt,¥5165,"$34,61",58,2,-1,'-,Profesional
3585992,Haneda 30min/La casa 1B,17133875,Shizu&Tazu&Mari,Ota Ku,"",Tokyo,Entire home/apt,¥4950,"$33,17",34,2,-1,'-,Profesional
3606276,*A*Home WIFI! Tranquil Retreat+LOFT near Shinjuku!,9203725,Memz And Taki,Suginami Ku,"",Tokyo,Private room,¥6456,"$43,26",3,5,-1,'-,Profesional
3623844,Tatoo ok! TOKYO♨ONSEN and ROOM【寿】,13018876,Masakatsu,Edogawa Ku,"",Tokyo,Entire home/apt,¥5165,"$34,61",42,2,-1,'-,Profesional
3689244,"Shibuya, near Harajuku 2BR (MDS2BR)",18776800,LiveinAsia,Shibuya Ku,"",Tokyo,Entire home/apt,¥30989,"$207,63",10,18,-1,'-,Profesional
3744742,(3) 11mins Shinjuku. 17mins Shibuya. -JR Jujo Sta.,19152993,Sei,Kita Ku,"",Tokyo,Entire home/apt,¥5380,"$36,05",188,8,-1,'-,Profesional
3793206,PRIVATE ROOM  JUST ME ONLY  II 10F with Balcony,8142772,Min & Haru,Shinjuku Ku,"",Tokyo,Private room,¥6026,"$40,37",187,13,-1,'-,Profesional
3793412,PRIVATE ROOM FAMILY OR FRIENDS 10F II,8142772,Min & Haru,Shinjuku Ku,"",Tokyo,Private room,¥4950,"$33,17",63,13,-1,'-,Profesional
3811441,Room in Mejiro/Ikebukuro (1 of 3),7537357,Yayoi,Toshima Ku,"",Tokyo,Private room,¥3228,"$21,63",251,3,-1,'-,Profesional
3814258,apartment hotel TASU TOCO,19611972,岩間,Suginami Ku,"",Tokyo,Entire home/apt,¥8070,"$54,07",119,3,-1,'-,Profesional
3838856,SHINJUKU ★Designer Pencil House★ Whole House,4626879,Sam,Shibuya Ku,"",Tokyo,Entire home/apt,¥20552,"$137,70",167,9,-1,'-,Profesional
3845889,COZY LOFT BEDROOM #106,19089769,Manami,Suginami Ku,"",Tokyo,Entire home/apt,¥7962,"$53,35",82,2,-1,'-,Profesional
3846001,COZY LOFT BEDROOM #1,19089769,Manami,Suginami Ku,"",Tokyo,Entire home/apt,¥8500,"$56,95",110,2,-1,'-,Profesional
3871442,Nishi-Ogikubo 1BR Twin Type-A (SSH1BRT-A) 2F,18776800,LiveinAsia,Suginami Ku,"",Tokyo,Entire home/apt,¥13020,"$87,23",30,18,-1,'-,Profesional
3885341,"Cozy Flat #302, local area Yet 10 mins to shibuya!",1573631,"Gilles,Mayumi,Taiki",Setagaya Ku,"",Tokyo,Entire home/apt,¥6994,"$46,86",53,3,-1,'-,Profesional
3886601,"""Meiji House""4Room,8Guests,WIFI,2min/HIROO Stn.",10415965,Azabu,Shibuya Ku,"",Tokyo,Entire home/apt,¥35078,"$235,02",120,3,-1,'-,Profesional
3920124,"Residential area, Peaceful Traditional House 2",20307199,Hotaka,Higashimurayama Shi,"",Tokyo,Entire home/apt,¥4842,"$32,44",118,3,-1,'-,Profesional
3956263,TINY Home in the Shibuya Ward with Free Wifi,4847803,Best Stay In Tokyo!,Shibuya Ku,"",Tokyo,Entire home/apt,¥10437,"$69,93",71,12,-1,'-,Profesional
3972299,Shinjuku/ Yoyogi few minutes to the St. Free WiFi,151977,Miyuki,Shibuya Ku,"",Tokyo,Entire home/apt,¥10760,"$72,09",55,3,-1,'-,Profesional
4047596,｢LICENSED｣Enjoy Central Tokyo Yamanote Life,6504053,Bryan,Shinagawa Ku,"",Tokyo,Entire home/apt,¥24963,"$167,25",171,3,-1,'-,Profesional
4050925,Airport pick-up service&Asakusa traditional house,21004633,Yoshi,Taito Ku,"",Tokyo,Entire home/apt,¥40028,"$268,19",417,4,-1,'-,Profesional
