id,name,host_id,host_name,neighbourhood,neighbourhood_group,city,room_type,price,usd,number_of_reviews,calculated_host_listings_count,availability_365,tipo disponibilidad,tipo host
132428,Habitacion en Anton Martin,650803,Jose Luis,Embajadores,Centro,Madrid,Private room,"30,00 €","$34,80",104,1,1,Disponibilidad baja,particular
136058,"Calm, affordable room in Madrid.",666482,Cinthia,Los Angeles,Villaverde,Madrid,Private room,"21,00 €","$24,36",72,1,289,Disponibilidad alta,particular
154224,NICE FLAT SANTA ANA.45m2 WIFI (A),740087,Jesus&Sonia,Cortes,Centro,Madrid,Entire home/apt,"69,00 €","$80,04",84,8,341,Disponibilidad alta,profesional
167183,private house B & B. Arturo Soria (Metro),796746,Consuelo,Piovera,Hortaleza,Madrid,Private room,"45,00 €","$52,20",23,2,363,Disponibilidad alta,particular
170750,2-bedroom attic & rooftop terrace,814490,Rafael,Universidad,Centro,Madrid,Entire home/apt,"91,00 €","$105,56",190,2,340,Disponibilidad alta,particular
171144,Penthouse in PALACIO with 2 ROOMS,816497,Isabel,Palacio,Centro,Madrid,Entire home/apt,"120,00 €","$139,20",11,1,1,Disponibilidad baja,particular
177523,"★STAYCATION★ Centro - Exclusivo, Estudio Diseño",596469,Gabriel Avalos,Universidad,Centro,Madrid,Entire home/apt,"72,00 €","$83,52",13,25,233,Disponibilidad alta,profesional
177846,"HABITACIÓN EN MALASAÑA, CON BALCÓN Y MUCHA LUZ",850654,Laila,Universidad,Centro,Madrid,Private room,"20,00 €","$23,20",61,4,365,Disponibilidad alta,profesional
177850,"PEQUEÑA HABITACIÓN EN CENTRO, EN BARRIO MALASAÑA",850654,Laila,Universidad,Centro,Madrid,Private room,"18,00 €","$20,88",105,4,365,Disponibilidad alta,profesional
196197,Views of San Andres Baroque from a Central Madrid Apartment,852616,Meyling,Palacio,Centro,Madrid,Entire home/apt,"55,00 €","$63,80",288,2,269,Disponibilidad alta,particular
199016,Room in central top floor with 2 terraces,967721,Santi,Universidad,Centro,Madrid,Private room,"28,00 €","$32,48",25,1,364,Disponibilidad alta,particular
199201,"Converted theatre, historic centre",749212,Henrietta,Embajadores,Centro,Madrid,Private room,"75,00 €","$87,00",149,1,364,Disponibilidad alta,particular
200828,"FRENTE MAR, ZONA CALAS. PISCINA.",75944,Maite,Castellana,Salamanca,Madrid,Entire home/apt,"214,00 €","$248,24",0,1,365,Disponibilidad alta,particular
201033,Shiny Room in Malasaña II/Center,606925,Noelia,Universidad,Centro,Madrid,Private room,"40,00 €","$46,40",53,3,1,Disponibilidad baja,profesional
204570,Lovely 110m2 home - Best location!,1004721,Alex,Cortes,Centro,Madrid,Entire home/apt,"80,00 €","$92,80",100,1,150,Disponibilidad media,particular
205199,Tafari Gran Via,1008659,Nuria,Universidad,Centro,Madrid,Entire home/apt,"85,00 €","$98,60",272,2,365,Disponibilidad alta,particular
207275,Bedroom with views,124972,Luisa,Casa de Campo,Moncloa - Aravaca,Madrid,Private room,"50,00 €","$58,00",8,4,365,Disponibilidad alta,profesional
209373,Attic in the Heart of Madrid-WIFI,1031664,José,Embajadores,Centro,Madrid,Private room,"30,00 €","$34,80",37,1,277,Disponibilidad alta,particular
