id;name;host_id;host_name;neighbourhood_group;neighbourhood;city;room_type;price;usd;minimum_nights;number_of_reviews;calculated_host_listings_count;availability_365;tipo disponibilidad;tipo host
6979235;FASHIONFLATS MILAN FROM 60E @Night;36119604;Luca;-;ISOLA;Milán;Entire home/apt;180;208,8;2;1;3;0;Disponibilidad baja;profesional
6980585;Penthouse view Duomo!;36107706;Iside;-;XXII MARZO;Milán;Entire home/apt;100;116;2;9;1;242;Disponibilidad alta;particular
6988148;Cozy Apartment in City Center;12176080;Andrea;-;BUENOS AIRES - VENEZIA;Milán;Entire home/apt;75;87;2;1;1;0;Disponibilidad baja;particular
6989422;loft in court;21698647;Maurizio;-;DE ANGELI - MONTE ROSA;Milán;Entire home/apt;88;102,08;2;35;1;337;Disponibilidad alta;particular
6997963;Arco della Pace Milano;36690168;Silvia;-;PAGANO;Milán;Entire home/apt;264;306,24;1;0;1;364;Disponibilidad alta;particular
6998077;Super central cosy apartment!;34935772;Veronica;-;TICINESE;Milán;Entire home/apt;100;116;2;1;1;357;Disponibilidad alta;particular
7001572;Charming Loft one step from Duomo;36437005;Domitilla;-;DUOMO;Milán;Entire home/apt;85;98,6;4;31;1;359;Disponibilidad alta;particular
7001910;Studio flat 30min walking to center;29568769;Claudia;-;TIBALDI;Milán;Entire home/apt;55;63,8;3;0;1;0;Disponibilidad baja;particular
7004520;Two room apartment;28351023;Maria;-;NAVIGLI;Milán;Entire home/apt;61;70,76;2;274;1;195;Disponibilidad alta;particular
7013344;Divano letto in Luca's apartment;26903783;Luca;-;CORSICA;Milán;Shared room;25;29;1;14;3;0;Disponibilidad baja;profesional
7013425;Awesome studio in Porta Romana;2802520;Daniele & Flavia;-;PORTA ROMANA;Milán;Entire home/apt;54;62,64;2;282;1;167;Disponibilidad media;particular
7018506;From Navigli with love;20800761;Francesco;-;NAVIGLI;Milán;Entire home/apt;59;68,44;1;0;1;345;Disponibilidad alta;particular
7019324;Bright and Charming Brera Loft;26521561;Emma;-;BRERA;Milán;Entire home/apt;116;134,56;2;61;1;305;Disponibilidad alta;particular
7019775;Charming suite;24332288;Paola;-;BRERA;Milán;Entire home/apt;55;63,8;7;0;1;0;Disponibilidad baja;particular
7020475;GRANDE CASA A CITTA' STUDI;36799194;Daniele;-;CITTA' STUDI;Milán;Entire home/apt;120;139,2;1;13;1;358;Disponibilidad alta;particular
7024375;ELEGANTE LOFT NUOVO CENTRO MILANO;28893414;Sara;-;VIGENTINA;Milán;Entire home/apt;83;96,28;3;4;1;362;Disponibilidad alta;particular
7028825;MONOLOCALE LUMINOSO CON TERRAZZINO;36843968;Alberto;-;ADRIANO;Milán;Entire home/apt;50;58;1;0;1;0;Disponibilidad baja;particular
7029684;APPARTAMENTO CON TERRAZZO X 5 PERSONE;36853472;Francesca;-;VILLAPIZZONE;Milán;Entire home/apt;70;81,2;2;1;1;0;Disponibilidad baja;particular
7030873;Architect's flat in Porta Vittoria;25365199;Massimiliano;-;UMBRIA - MOLISE;Milán;Private room;29;33,64;2;85;1;302;Disponibilidad alta;particular
7032089;New Studio Lambrate M2;36853890;Valerio;-;PARCO LAMBRO - CIMIANO;Milán;Entire home/apt;60;69,6;5;10;1;296;Disponibilidad alta;particular
7033955;Two rooms flat - 50mts from M1-QT8;36876567;Silvia;-;QT 8;Milán;Entire home/apt;79;91,64;2;53;1;310;Disponibilidad alta;particular
7034791;Downtown, new, tube to fair;26070107;Giuseppe;-;XXII MARZO;Milán;Entire home/apt;85;98,6;2;76;1;136;Disponibilidad media;particular
7037152;Fancy rooftop near Milano Duomo;20241015;Vittorio;-;GUASTALLA;Milán;Entire home/apt;100;116;5;35;1;321;Disponibilidad alta;particular
7043890;Rooms -Boccony House;34215672;Sara;-;VIGENTINA;Milán;Private room;35;40,6;2;13;1;352;Disponibilidad alta;particular
7057863;Studio completly furnished & brand new;33095139;Michela;-;CITTA' STUDI;Milán;Entire home/apt;29;33,64;4;3;1;105;Disponibilidad media;particular
7059198;DOUBLE ROOM WITH TERRACE;37019561;Lisa;-;LORETO;Milán;Shared room;69;80,04;4;1;1;365;Disponibilidad alta;particular
7060633;Light, cosy and quiet stay in Milan;37020425;Gina;-;BANDE NERE;Milán;Entire home/apt;35;40,6;4;34;1;7;Disponibilidad baja;particular
7061598;Urban Retreat Milano, Porta Romana;1711781;Paolo;-;PORTA ROMANA;Milán;Entire home/apt;105;121,8;1;89;1;365;Disponibilidad alta;particular
7062849;Casa a Porta Romana-turismo e altro;37034207;Guido;-;PORTA ROMANA;Milán;Entire home/apt;91;105,56;3;14;1;78;Disponibilidad baja;particular
7064073;Appartamento Milano Centro V. Monti;13094032;Camillo;-;MAGENTA - S. VITTORE;Milán;Entire home/apt;150;174;3;0;2;364;Disponibilidad alta;particular
7065256;MILANO, Precotto - M1 EXPO;26463211;Enrica;-;ADRIANO;Milán;Entire home/apt;70;81,2;3;0;1;0;Disponibilidad baja;particular
7066957;Bright Double-bed room w/balcony;37053371;Alexander;-;NAVIGLI;Milán;Private room;30;34,8;14;0;1;0;Disponibilidad baja;particular
7068978;Amazing room in Garibaldi-Isola;37065137;Giacomo;-;ISOLA;Milán;Private room;36;41,76;1;7;1;0;Disponibilidad baja;particular
7069208;Your colorful room in Milano;7790892;Connie;-;BUENOS AIRES - VENEZIA;Milán;Private room;53;61,48;1;90;2;89;Disponibilidad baja;particular
7070627;Cute two room flat in Porta Romana;15925263;Andrea;-;PORTA ROMANA;Milán;Entire home/apt;70;81,2;2;90;1;353;Disponibilidad alta;particular
7077385;Atelier in Porta Genova;15973520;Cristiana;-;NAVIGLI;Milán;Entire home/apt;57;66,12;7;9;1;362;Disponibilidad alta;particular
7083838;Sotto la Madonnina 5;29387609;Enzo;-;DUOMO;Milán;Entire home/apt;97;112,52;2;38;6;6;Disponibilidad baja;profesional
7084057;Lovely FLAT in smart district;1209812;Daniela;-;WASHINGTON;Milán;Private room;35;40,6;25;5;1;0;Disponibilidad baja;particular
7098705;PEACE AND QUIET IN MILAN;26297742;Valeria;-;MAGGIORE - MUSOCCO;Milán;Entire home/apt;100;116;2;21;2;363;Disponibilidad alta;particular
